id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2025-10821,2025-10-16,000001,Vente,360000,116,,CHE DE LA RAMAZ,0160,01630,01401,Sergy,01,,,014010000B1250,,,170,,183,85.6,,,,,,,2,3,Dépendance,,0,,,,,,5.990673,46.259753
2025-10840,2025-10-13,000001,Vente en l'état futur d'achèvement,402000,,,SERGY DESSOUS,B054,01630,01401,Sergy,01,,,014010000C2776,,,11,,,,,,,,,,1,,,,,,,,,,6.00033,46.25237
2025-10840,2025-10-13,000001,Vente en l'état futur d'achèvement,402000,,,SERGY DESSOUS,B054,01630,01401,Sergy,01,,,014010000C2776,,,90,,,,,,,,,,1,,,,,,,,,,6.00033,46.25237
2025-10840,2025-10-13,000001,Vente en l'état futur d'achèvement,402000,,,SERGY DESSOUS,B054,01630,01401,Sergy,01,,,014010000C2776,,,5,,,,,,,,,,1,,,,,,,,,,6.00033,46.25237
2025-10840,2025-10-13,000001,Vente en l'état futur d'achèvement,402000,,,SERGY DESSOUS,B054,01630,01401,Sergy,01,,,014010000C2776,,,119,,,,,,,,,,1,,,,,,,,,,6.00033,46.25237
2025-10982,2025-10-15,000001,Vente en l'état futur d'achèvement,505000,,,SERGY DESSOUS,B054,01630,01401,Sergy,01,,,014010000C2776,,,107,,,,,,,,,,1,,,,,,,,,,6.00033,46.25237
2025-10982,2025-10-15,000001,Vente en l'état futur d'achèvement,505000,,,SERGY DESSOUS,B054,01630,01401,Sergy,01,,,014010000C2776,,,108,,,,,,,,,,1,,,,,,,,,,6.00033,46.25237
2025-10982,2025-10-15,000001,Vente en l'état futur d'achèvement,505000,,,SERGY DESSOUS,B054,01630,01401,Sergy,01,,,014010000C2776,,,22,,,,,,,,,,1,,,,,,,,,,6.00033,46.25237
2025-11256,2025-11-04,000001,Vente en l'état futur d'achèvement,478500,,,SERGY DESSOUS,B054,01630,01401,Sergy,01,,,014010000C2852,,,11,,,,,,,,,,1,,,,,,,,,,6.000856,46.251725
2025-11256,2025-11-04,000001,Vente en l'état futur d'achèvement,478500,,,SERGY DESSOUS,B054,01630,01401,Sergy,01,,,014010000C2852,,,12,,,,,,,,,,1,,,,,,,,,,6.000856,46.251725
