code_commune|surface|type_local|etiquette_dpe|annee_construction|annee_mutation|prix_m2
01071|88|Appartement|D|2002|2025|3977
01313|93|Appartement|C|2004|2025|5323
01160|74|Appartement|C|2006|2025|5431
01173|37|Local industriel. commercial ou assimilé|C|1880|2025|1622
01160|48|Appartement|C|2015|2025|6708
01173|79|Appartement|C|2008|2025|5063
01173|101|Appartement|C|2015|2025|4496
01160|32|Appartement|D|1989|2025|5594
01354|96|Appartement|E|1975|2025|3646
01354|161|Appartement|B|2012|2025|5155
01401|72|Appartement|G|1982|2025|2292
01160|87|Appartement|C|2014|2025|4843
01419|82|Appartement|D|1930|2025|7317
01419|35|Appartement|D||2025|5143
01173|69|Appartement|C|1990|2025|1271
01173|69|Appartement|C|1990|2025|1870
01313|70|Appartement|C|2015|2025|5426
01173|160|Local industriel. commercial ou assimilé|E|1973|2025|2088
01173|144|Appartement|D|1970|2025|4057
01160|35|Appartement|F||2025|4857
01173|26|Appartement|C|2014|2025|5846
01354|57|Appartement|C|2004|2025|4789
01160|67|Appartement|D|1989|2025|4254
01173|76|Appartement|F|1974|2025|4276
01173|24|Appartement|E|1989|2025|5208
01071|30|Appartement|G|1900|2025|12833
01173|88|Appartement|F|1965|2025|4057
01160|71|Appartement|C|1972|2025|3803
01354|32|Appartement|C|1993|2025|4969
01173|55|Appartement|C|2008|2025|4273
01160|109|Appartement|D|1989|2025|5391
01160|23|Local industriel. commercial ou assimilé|F|1985|2025|4850
01313|98|Maison|E|1987|2025|4016
01313|206|Maison|B|2005|2025|3433
01173|47|Appartement|D|1988|2025|3384
01354|229|Appartement|G|1950|2025|4651
01313|89|Appartement|C|2004|2025|5445
01160|68|Appartement|D|1989|2025|4559
01173|107|Maison|C|1998|2025|5561
01160|81|Appartement|F|1979|2025|4321
01313|87|Appartement|D|1973|2025|4629
01354|74|Appartement|C|2012|2025|4657
01313|69|Appartement|C|2010|2025|5290
01160|85|Appartement|D|1977|2025|2871
01313|114|Appartement|C|2016|2025|2454
01160|77|Appartement|D|1989|2025|5000
01071|102|Appartement|D||2025|5275
01160|35|Local industriel. commercial ou assimilé|D|2013|2025|1643
01160|95|Appartement|C|2000|2025|3537
01419|38|Appartement|B|2012|2025|5868
01173|54|Appartement|C|2008|2025|4796
01173|20|Local industriel. commercial ou assimilé|C|2007|2025|3375
01173|66|Appartement|C|2018|2025|6288
01160|34|Local industriel. commercial ou assimilé|D|2013|2025|2765
01313|206|Maison|C||2025|3155
01173|46|Appartement|C|2015|2025|4565
01173|44|Appartement|C||2025|5682
01173|47|Appartement|C|2016|2025|6000
01419|69|Appartement|C|2012|2025|4471
01313|92|Maison|C|2003|2025|7011
01313|76|Appartement|D|1973|2025|4737
01160|92|Appartement|C|2018|2025|5995
01354|133|Appartement|C|2017|2025|4885
01354|55|Appartement|C|2016|2025|5200
01173|58|Appartement|C||2025|5259
01160|51|Appartement|D|1880|2025|3725
01160|62|Appartement|D|1989|2025|5726
01160|95|Appartement|C|2000|2025|4526
01313|104|Appartement|D|2017|2025|3606
01173|47|Appartement|C|2012|2025|4255
01173|43|Appartement|C|2013|2025|5465
01071|45|Appartement|D||2025|5400
01071|82|Appartement|C|2018|2025|5218
01173|76|Appartement|C|2015|2025|4572
01173|37|Appartement|C|1985|2025|4872
01071|89|Appartement|D|2006|2025|5393
01354|49|Appartement|C|2019|2025|6378
01281|84|Appartement|C|2015|2025|5345
01313|131|Maison|C|2005|2025|4733
01160|116|Appartement|E||2025|2629
01173|62|Appartement|C|2013|2025|2274
01173|86|Appartement|E|2004|2025|4535
01313|264|Maison|D|1982|2025|3828
01160|90|Appartement|D|1989|2025|4444
01071|88|Appartement|C|2010|2025|3543
01071|83|Appartement|C|2010|2025|3584
01071|50|Appartement|C|2010|2025|4200
01173|42|Appartement|C||2025|5714
01160|86|Appartement|E|1968|2025|3488
01160|30|Appartement|F|1972|2025|4667
01071|127|Appartement|C|2008|2025|4409
01419|319|Maison|D||2025|4017
01160|142|Appartement|D|1989|2025|4508
01160|88|Appartement|F||2025|4034
01173|36|Appartement|C||2025|4028
01160|72|Appartement|C|2013|2025|5111
01173|108|Appartement|D|1992|2025|4074
01281|108|Maison|D|1990|2025|5608
01313|87|Appartement|C|2010|2025|4327
01354|66|Appartement|C|2015|2025|5152
01313|75|Appartement|C||2025|5853
01281|75|Appartement|E|1970|2025|4390
01071|81|Appartement|C|2008|2025|4691
01071|199|Maison|B|2008|2025|6034
01354|107|Appartement|E|1975|2025|3252
01071|105|Maison|C||2025|6282
01071|100|Maison|B|2006|2025|6450
01071|80|Maison|G||2025|8125
01071|91|Maison|G|1971|2025|6758
01071|97|Maison|E|1991|2025|5670
01071|127|Maison|C|2011|2025|5315
01071|70|Maison|E|1976|2025|5943
01071|181|Maison|C|2002|2025|4586
01071|85|Maison|D||2025|4153
01071|145|Maison|D||2025|5172
01071|99|Maison|D|1997|2025|6919
01071|97|Maison|E|1991|2025|5359
01071|98|Maison|C|2019|2025|5826
01071|119|Maison|A|2016|2025|7134
01071|127|Maison|E|1984|2025|4587
01071|117|Maison|G|1900|2025|3291
01071|106|Maison|C|2014|2025|5283
01071|95|Maison|C|2010|2025|6211
01071|101|Maison|C|2009|2025|6188
01071|124|Maison|E|1984|2025|2379
01071|82|Maison|D|1983|2025|6329
01071|156|Maison|C|2019|2025|5597
01071|96|Maison|B|2018|2025|6719
01071|145|Maison|E||2025|6483
01071|250|Maison|C|2007|2025|4400
01160|280|Maison|F|1970|2025|3643
01160|125|Maison|C|1983|2025|5832
01160|134|Maison|D|1985|2025|4552
01160|78|Maison|F|1969|2025|9487
01160|96|Maison|F|1966|2025|7031
01160|126|Maison|F|1982|2025|5952
01160|123|Maison|E|1900|2025|4878
01160|290|Maison|F|1977|2025|2552
01173|136|Maison|E|1982|2025|4118
01173|135|Maison|E|1900|2025|6148
01173|158|Maison|G||2025|3290
01173|95|Maison|C|1880|2025|10526
01173|95|Maison|F|1900|2025|4421
01173|112|Maison|E|1977|2025|3683
01173|200|Maison|B|1992|2025|5468
01173|80|Maison|G|1968|2025|5938
01173|126|Maison|C|2014|2025|4048
01173|32|Maison|C|1997|2025|8434
01173|99|Maison|E|1900|2025|3535
01173|57|Maison|F|1904|2025|7281
